"inscriptionId","address"
"8b6303cc8139819825820ca34414544d75b6a78eda138606415999b771239325i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"547421aaf67a99c82202307cd0542c7945c9c7292739d575402ca8d4509a7549i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"28c0b2f4e9435ca8b1a2c5ea1487c6d39f743e60e870952152bbb3667aaeac53i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"cc7696c030b4f207fe465cfda36a1e27226700d80d8fe2b0b13bc041fbaff45ci0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"0a29cdd99ce6e86dca4f5c0bceab2083a87f08d2c1eb827020d12a363d4d1b46i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"d66aa3f156d966a98e5c1bcb60fd6fd7ca313b8430eee271cd5f3bb5b97d209bi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"c769eafaba662a3b9a796a088950fbc175644b83789978f0bbdc66487cf19d87i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"1c3080f63d71ca0964813c71982bc55f9b96761b4f807a9367744c96bd4df518i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"3d63265e0bd792b86d260a1798107124e07cbdcb34265cb18adbddaf4dcd6437i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"de43e691e8fffd46851407d093382984e6f58edcf8d34ecc3840d11e811740dfi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"5a37514bfa3409f536822297927b990d7ed92f87fe2880bb2a7f4f069a8f20afi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"73ec0931fa5465499b0598cade1cdd3e4fd1ca43e6db24eef78e62b677e43875i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"71f9fe73a780ddcb9214e8c9777fc58a12fe6f4897bea4280e69765b26b6b610i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"aa746e54307c353f42c3339d6deada801ae2f38ec2e48f63280241fed86f1c7bi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"640ef4631b5ca176cba87529105347a290003de9ea1d5435970ae78d9445868fi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"c1e0a33c1a48c5141642df7e34e4f03e3c4c04ae28af82de6cf3f61e3f21ad3di0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"ee3f443c1d9461c12ea8668f1a2da1aa4a163b74c0218b89da5dc855eab21d25i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"95333c3dad50994d1decd49eddd4f3ebbc084bcf898cb1e70c65177f5c80fb1bi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"f7b8fbba464390ae2e9554f8a88ca7b98a1982ca53356d20fc64d4359a2d0c49i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"321e6ee11a0361da2da1d44e214ef966537b9c6002e3e7abd25ec3bbb52684d7i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"a09fee662dfe5d133b92a205076abc91ba7fa98a1ef88a02acefff18b5e38273i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"68b32d04516d443468fcf551a1ae407fa859ee52a7efee9b8b7dfd35cf049e5bi0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
"066f2d3231fd7f40e21a8edc5b9f687ebf5bb8d5a00e03bf4e68e239bf1e0d09i0","bc1purtp7rsw7j9mnsxtnltjd4djggj6wlqf7ufj8qs686x7qa5hvdsqsxgjw0"
